store_id,product_id,current_stock,in_transit_stock,reserved_stock,target_stock_level,reorder_point,capital_allocated,weeks_of_cover
STORE_01,PROD_001,8,0,0,7,3,52000.0,4.16
STORE_01,PROD_002,4,0,0,5,2,34000.0,2.67
STORE_01,PROD_003,3,0,0,4,2,21600.0,6.0
STORE_01,PROD_004,4,0,0,3,2,31200.0,6.12
STORE_01,PROD_005,0,0,0,0,2,0.0,0.0
STORE_01,PROD_006,5,0,0,5,2,31000.0,2.71
STORE_01,PROD_007,6,0,0,6,3,54000.0,3.18
STORE_01,PROD_008,8,0,0,7,3,76000.0,4.95
STORE_01,PROD_009,5,0,0,6,3,55000.0,2.57
STORE_01,PROD_010,5,0,0,6,3,60000.0,3.51
STORE_01,PROD_011,5,0,0,4,2,52500.0,8.12
STORE_01,PROD_012,2,0,0,3,2,22400.0,3.25
STORE_01,PROD_013,8,0,0,7,3,65600.0,4.12
STORE_01,PROD_014,5,0,0,5,2,51000.0,3.47
STORE_01,PROD_015,2,0,0,3,2,19600.0,2.97
STORE_01,PROD_016,5,0,0,5,2,57500.0,3.47
STORE_01,PROD_017,1,0,0,1,2,6800.0,10.0
STORE_01,PROD_018,6,0,0,6,3,44400.0,6.5
STORE_01,PROD_019,3,0,0,3,2,42000.0,6.24
STORE_01,PROD_020,8,0,0,8,4,124000.0,3.65
STORE_01,PROD_021,7,0,0,6,3,126000.0,3.25
STORE_01,PROD_022,7,0,0,6,3,143500.0,4.23
STORE_01,PROD_023,3,0,0,4,2,66000.0,5.38
STORE_01,PROD_024,3,0,0,3,2,73500.0,4.33
STORE_01,PROD_025,5,0,0,7,3,82500.0,2.32
STORE_01,PROD_026,8,0,0,8,4,152000.0,3.75
STORE_01,PROD_027,6,0,0,8,4,156000.0,3.55
STORE_01,PROD_028,5,0,0,6,3,140000.0,3.17
STORE_01,PROD_029,7,0,0,7,3,210000.0,3.31
STORE_01,PROD_030,1,0,0,1,2,25000.0,10.0
STORE_01,PROD_031,7,0,0,8,4,122500.0,4.0
STORE_01,PROD_032,3,0,0,4,2,63000.0,4.22
STORE_01,PROD_033,8,0,0,7,3,184000.0,3.68
STORE_01,PROD_034,6,0,0,6,3,96000.0,7.26
STORE_01,PROD_035,1,0,0,2,2,17200.0,1.58
STORE_01,PROD_036,7,0,0,7,3,101500.0,3.28
STORE_01,PROD_037,6,0,0,7,3,117000.0,3.43
STORE_01,PROD_038,6,0,0,6,3,162000.0,2.84
STORE_01,PROD_039,2,0,0,3,2,76000.0,4.16
STORE_01,PROD_040,9,0,0,9,4,378000.0,3.69
STORE_01,PROD_041,8,0,0,7,3,368000.0,3.2
STORE_01,PROD_042,8,0,0,9,4,400000.0,4.24
STORE_01,PROD_043,6,0,0,6,3,324000.0,8.0
STORE_01,PROD_044,3,0,0,3,2,174000.0,3.8
STORE_01,PROD_045,10,0,0,8,4,350000.0,4.0
STORE_01,PROD_046,9,0,0,9,4,360000.0,3.66
STORE_01,PROD_047,7,0,0,8,4,308000.0,3.68
STORE_01,PROD_048,9,0,0,8,4,432000.0,4.82
STORE_01,PROD_049,3,0,0,4,2,156000.0,3.71
STORE_01,PROD_050,9,0,0,7,3,387000.0,5.09
STORE_01,PROD_051,6,0,0,7,3,222000.0,6.24
STORE_01,PROD_052,4,0,0,3,2,156000.0,5.78
STORE_01,PROD_053,2,0,0,2,2,144000.0,6.12
STORE_01,PROD_054,5,0,0,5,2,410000.0,3.21
STORE_01,PROD_055,4,0,0,4,2,360000.0,9.04
STORE_01,PROD_056,4,0,0,5,2,408000.0,3.53
STORE_01,PROD_057,2,0,0,3,2,216000.0,4.52
STORE_01,PROD_058,2,0,0,2,2,236000.0,5.47
STORE_01,PROD_059,6,0,0,5,2,468000.0,4.11
STORE_01,PROD_060,3,0,0,4,2,255000.0,2.64
STORE_02,PROD_001,6,0,0,7,3,39000.0,2.38
STORE_02,PROD_002,7,0,0,8,4,59500.0,3.83
STORE_02,PROD_003,4,0,0,5,2,28800.0,6.5
STORE_02,PROD_004,5,0,0,4,2,39000.0,5.91
STORE_02,PROD_005,0,0,0,0,2,0.0,0.0
STORE_02,PROD_006,7,0,0,8,4,43400.0,2.91
STORE_02,PROD_007,6,0,0,8,4,54000.0,2.46
STORE_02,PROD_008,8,0,0,8,4,76000.0,4.43
STORE_02,PROD_009,7,0,0,7,3,77000.0,2.89
STORE_02,PROD_010,11,0,0,9,4,132000.0,6.09
STORE_02,PROD_011,4,0,0,5,2,42000.0,5.33
STORE_02,PROD_012,3,0,0,3,2,33600.0,3.71
STORE_02,PROD_013,8,0,0,7,3,65600.0,3.22
STORE_02,PROD_014,7,0,0,8,4,71400.0,3.83
STORE_02,PROD_015,4,0,0,4,2,39200.0,5.2
STORE_02,PROD_016,8,0,0,8,4,92000.0,4.47
STORE_02,PROD_017,1,0,0,1,2,6800.0,10.0
STORE_02,PROD_018,10,0,0,8,4,74000.0,8.97
STORE_02,PROD_019,5,0,0,4,2,70000.0,8.39
STORE_02,PROD_020,6,0,0,8,4,93000.0,2.2
STORE_02,PROD_021,7,0,0,9,4,126000.0,2.46
STORE_02,PROD_022,8,0,0,8,4,164000.0,3.78
STORE_02,PROD_023,3,0,0,4,2,66000.0,4.11
STORE_02,PROD_024,4,0,0,4,2,98000.0,4.33
STORE_02,PROD_025,8,0,0,9,4,132000.0,2.89
STORE_02,PROD_026,8,0,0,10,4,152000.0,2.85
STORE_02,PROD_027,7,0,0,9,4,182000.0,3.34
STORE_02,PROD_028,6,0,0,7,3,168000.0,2.81
STORE_02,PROD_029,11,0,0,10,4,330000.0,3.86
STORE_02,PROD_030,1,0,0,1,2,25000.0,10.0
STORE_02,PROD_031,7,0,0,7,3,122500.0,3.4
STORE_02,PROD_032,4,0,0,4,2,84000.0,4.84
STORE_02,PROD_033,12,0,0,10,4,276000.0,4.49
STORE_02,PROD_034,4,0,0,5,2,64000.0,4.16
STORE_02,PROD_035,5,0,0,4,2,86000.0,5.78
STORE_02,PROD_036,10,0,0,8,4,145000.0,3.44
STORE_02,PROD_037,9,0,0,9,4,175500.0,4.14
STORE_02,PROD_038,7,0,0,9,4,189000.0,2.62
STORE_02,PROD_039,4,0,0,4,2,152000.0,5.94
STORE_02,PROD_040,8,0,0,11,5,336000.0,2.3
STORE_02,PROD_041,9,0,0,11,5,414000.0,2.53
STORE_02,PROD_042,13,0,0,11,5,650000.0,4.83
STORE_02,PROD_043,7,0,0,7,3,378000.0,6.62
STORE_02,PROD_044,5,0,0,5,2,290000.0,4.26
STORE_02,PROD_045,16,0,0,13,6,560000.0,4.4
STORE_02,PROD_046,11,0,0,12,5,440000.0,3.09
STORE_02,PROD_047,7,0,0,9,4,308000.0,2.68
STORE_02,PROD_048,8,0,0,9,4,384000.0,2.97
STORE_02,PROD_049,4,0,0,4,2,208000.0,3.41
STORE_02,PROD_050,10,0,0,9,4,430000.0,3.69
STORE_02,PROD_051,8,0,0,7,3,296000.0,6.3
STORE_02,PROD_052,3,0,0,4,2,117000.0,2.74
STORE_02,PROD_053,3,0,0,3,2,216000.0,7.09
STORE_02,PROD_054,7,0,0,6,3,574000.0,3.34
STORE_02,PROD_055,4,0,0,4,2,360000.0,6.3
STORE_02,PROD_056,7,0,0,7,3,714000.0,4.28
STORE_02,PROD_057,5,0,0,4,2,540000.0,5.65
STORE_02,PROD_058,3,0,0,3,2,354000.0,4.88
STORE_02,PROD_059,8,0,0,7,3,624000.0,3.78
STORE_02,PROD_060,6,0,0,5,2,510000.0,3.9
STORE_03,PROD_001,7,0,0,7,3,45500.0,3.75
STORE_03,PROD_002,6,0,0,6,3,51000.0,4.33
STORE_03,PROD_003,3,0,0,3,2,21600.0,6.5
STORE_03,PROD_004,3,0,0,3,2,23400.0,5.03
STORE_03,PROD_005,0,0,0,0,2,0.0,0.0
STORE_03,PROD_006,8,0,0,7,3,49600.0,4.29
STORE_03,PROD_007,7,0,0,7,3,63000.0,3.64
STORE_03,PROD_008,5,0,0,6,3,47500.0,3.51
STORE_03,PROD_009,7,0,0,7,3,77000.0,3.6
STORE_03,PROD_010,6,0,0,6,3,72000.0,4.59
STORE_03,PROD_011,3,0,0,3,2,31500.0,5.78
STORE_03,PROD_012,3,0,0,3,2,33600.0,5.57
STORE_03,PROD_013,5,0,0,6,3,41000.0,2.65
STORE_03,PROD_014,8,0,0,7,3,81600.0,5.94
STORE_03,PROD_015,2,0,0,3,2,19600.0,2.89
STORE_03,PROD_016,6,0,0,6,3,69000.0,4.11
STORE_03,PROD_017,1,0,0,1,2,6800.0,10.0
STORE_03,PROD_018,4,0,0,5,2,29600.0,5.2
STORE_03,PROD_019,4,0,0,3,2,56000.0,10.4
STORE_03,PROD_020,5,0,0,6,3,77500.0,2.5
